Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Text",4,4
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","True",20,20
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Lesson-1 Simple commands",5,5
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Lesson-3 Rhyme Hello hello",5,5
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Lesson-4 Following and giving Instructions",6,6
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Lesson-5 Carrying out and making requests in everyday life",11,11
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Lesson-6 Numbers 71-90",20,20
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Match request",5,5
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Number to Words",40,40
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Punctuation",2,2
"class-3","English For Today","Unit-3_ Commands, Instructions, Requests and Numbers","Rearrange words",20,20
"class-3","English For Today","Unit-5_ Their Days","Lesson-1 Joyful school time 1",21,21
"class-3","English For Today","Unit-5_ Their Days","Lesson-2 Joyful school time 2",22,22
"class-3","English For Today","Unit-5_ Their Days","Lesson-3 Osman's village life",21,21
"class-3","English For Today","Unit-5_ Their Days","Lesson-4 Oyshi's city Life",42,42
"class-3","English For Today","Unit-5_ Their Days","Lesson-5 Rhyme Rain Rain Go Away",15,15
"class-3","English For Today","Unit-5_ Their Days","MCQ",5,5
"class-3","English For Today","Unit-5_ Their Days","Correct form of verbs",60,60
"class-3","English For Today","Unit-5_ Their Days","Fill in the blank",30,30
"class-3","English For Today","Unit-5_ Their Days","Punctuation",5,5
"class-3","English For Today","Unit-5_ Their Days","Rearrange words",30,30
"class-3","English For Today","Unit-5_ Their Days","Short Question",5,5
"class-3","English For Today","Unit-5_ Their Days","Text",2,2
"class-3","English For Today","Unit-5_ Their Days","True",5,5
"class-3","English For Today","Unit-6_ Cleanliness","Lesson-1 Good habits",38,38
"class-3","English For Today","Unit-6_ Cleanliness","Lesson-2 Steps for Washing hands",15,15
"class-3","English For Today","Unit-6_ Cleanliness","MCQ",10,10
"class-3","English For Today","Unit-6_ Cleanliness","Correct form of verbs",30,30
"class-3","English For Today","Unit-6_ Cleanliness","Fill in the blank",10,10
"class-3","English For Today","Unit-6_ Cleanliness","Punctuation",2,2
"class-3","English For Today","Unit-6_ Cleanliness","Rearrange words",15,15
"class-3","English For Today","Unit-6_ Cleanliness","Short Composition",2,2
"class-3","English For Today","Unit-6_ Cleanliness","Short Question",10,10
"class-3","English For Today","Unit-6_ Cleanliness","Text",2,2
"class-3","English For Today","Unit-6_ Cleanliness","True",10,10
"class-3","English For Today","Unit-7_ Save Our Water","Lesson-1 Water pollution",53,53
"class-3","English For Today","Unit-7_ Save Our Water","Lesson-2 Uses of water",53,53
"class-3","English For Today","Unit-7_ Save Our Water","Lesson-3 Saving water",10,10
"class-3","English For Today","Unit-7_ Save Our Water","MCQ",15,15
"class-3","English For Today","Unit-7_ Save Our Water","Correct form of verbs",30,30
"class-3","English For Today","Unit-7_ Save Our Water","Fill in the blank",15,15
"class-3","English For Today","Unit-7_ Save Our Water","Match request",15,15
"class-3","English For Today","Unit-7_ Save Our Water","meaningful sentence",8,8
"class-3","English For Today","Unit-7_ Save Our Water","Number to Words",30,30
"class-3","English For Today","Unit-7_ Save Our Water","Punctuation",3,3
"class-3","English For Today","Unit-7_ Save Our Water","Rearrange words",20,20
"class-3","English For Today","Unit-7_ Save Our Water","Short Question",15,15
"class-3","English For Today","Unit-7_ Save Our Water","Text",3,3
"class-3","English For Today","Unit-7_ Save Our Water","True",15,15
"class-3","English For Today","Unit-8_ Facts and Fables","Lesson-1 The Ant and the Grasshopper",8,8
"class-3","English For Today","Unit-8_ Facts and Fables","meaningful sentence",4,4
"class-3","English For Today","Unit-8_ Facts and Fables","Punctuation",2,2
"class-3","English For Today","Unit-8_ Facts and Fables","Rearrange words",10,10
"class-3","আমার বাংলা বই","১. আমাদের কথা","CQ",23,23
"class-3","আমার বাংলা বই","১. আমাদের কথা","MCQ",677,677
"class-3","আমার বাংলা বই","১. আমাদের কথা","সংক্ষিপ্ত",58,58
"class-3","আমার বাংলা বই","১. আমাদের কথা","True False",23,23
"class-3","আমার বাংলা বই","১. আমাদের কথা","বাক্য গঠন",24,24
"class-3","আমার বাংলা বই","১. আমাদের কথা","বিরাম চিহ্ন",4,4
"class-3","আমার বাংলা বই","১. আমাদের কথা","বীপরিত শব্দ",28,28
